Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Referencia de localizacion,Fecha UTC,Hora UTC,Estatus
07/07/1979,01:40:05,no calculable,19.35,-99.15,"5","1 km al ESTE de COYOACAN, CDMX",07/07/1979,07:40:05,revisado
29/07/1979,21:15:53,no calculable,19.25,-99.22,"5","4 km al NOROESTE de S MIGUEL AJUSCO, CDMX",30/07/1979,03:15:53,revisado
15/08/1979,17:22:18,no calculable,19.36,-99.3,"5","2 km al SUROESTE de CUAJIMALPA, CDMX",15/08/1979,23:22:18,revisado
15/02/1980,15:10:30,no calculable,19.28,-99.14,"33","1 km al NORTE de XOCHIMILCO, CDMX",15/02/1980,21:10:30,revisado
19/02/1980,22:23:09,"3.5",19.4,-99.21,"1","1 km al OESTE de V ALVARO OBREGON, CDMX",20/02/1980,04:23:09,revisado
19/02/1980,22:43:14,no calculable,19.24,-99.15,"5","4 km al SUROESTE de XOCHIMILCO, CDMX",20/02/1980,04:43:14,revisado
20/02/1980,08:49:37,no calculable,19.1,-99.2,"5","13 km al SUROESTE de S MIGUEL TOPILEJO, CDMX",20/02/1980,14:49:37,revisado
31/03/1980,10:39:42,no calculable,19.2,-99.1,"5","2 km al NOROESTE de S SALVADOR CUAUHTENCO, CDMX",31/03/1980,16:39:42,revisado
14/05/1980,02:43:42,no calculable,19.4,-99.1,"5","1 km al NOROESTE de IZTACALCO, CDMX",14/05/1980,08:43:42,revisado
06/06/1980,01:28:26,no calculable,19.4,-99.2,"11","menos de 1 km al OESTE de V ALVARO OBREGON, CDMX",06/06/1980,07:28:26,revisado
23/06/1980,02:18:55,no calculable,19.2,-99.2,"3","2 km al SURESTE de S MIGUEL AJUSCO, CDMX",23/06/1980,08:18:55,revisado
19/08/1980,22:25:04,no calculable,19.16,-99.24,"37","7 km al SUROESTE de S MIGUEL AJUSCO, CDMX",20/08/1980,04:25:04,revisado
04/02/1981,07:40:26,"3.5",19.39,-99.2,"2","1 km al SUR de V ALVARO OBREGON, CDMX",04/02/1981,13:40:26,revisado
04/02/1981,17:57:09,no calculable,19.37,-99.15,"3","3 km al NORESTE de COYOACAN, CDMX",04/02/1981,23:57:09,revisado
05/02/1981,17:58:36,no calculable,19.41,-99.19,"4","menos de 1 km al NORESTE de MIGUEL HIDALGO, CDMX",05/02/1981,23:58:36,revisado
07/02/1981,17:31:54,no calculable,19.24,-99.34,"2","10 km al SUR de SAN LORENZO ACOPILCO, CDMX",07/02/1981,23:31:54,revisado
08/02/1981,20:28:10,no calculable,19.41,-99.13,"5","2 km al SUROESTE de VENUSTIANO CARRANZA, CDMX",09/02/1981,02:28:10,revisado
08/02/1981,20:37:04,no calculable,19.39,-99.19,"4","2 km al SURESTE de V ALVARO OBREGON, CDMX",09/02/1981,02:37:04,revisado
08/02/1981,23:53:46,no calculable,19.38,-99.2,"5","2 km al SUR de V ALVARO OBREGON, CDMX",09/02/1981,05:53:46,revisado
10/02/1981,05:14:29,no calculable,19.41,-99.23,"5","3 km al NOROESTE de V ALVARO OBREGON, CDMX",10/02/1981,11:14:29,revisado
08/03/1981,16:30:51,no calculable,19.36,-99.16,"3","1 km al NORTE de COYOACAN, CDMX",08/03/1981,22:30:51,revisado
21/05/1981,01:43:02,no calculable,19.27,-99.14,"9","1 km al SUR de XOCHIMILCO, CDMX",21/05/1981,07:43:02,revisado
08/08/1981,14:39:54,"2.7",19.5,-99.2,"3","3 km al NOROESTE de AZCAPOTZALCO, CDMX",08/08/1981,20:39:54,revisado
15/08/1981,04:04:26,no calculable,19.16,-99.27,"5","9 km al SUROESTE de S MIGUEL AJUSCO, CDMX",15/08/1981,10:04:26,revisado
22/10/1981,14:17:03,no calculable,19.28,-99.09,"18","5 km al SUROESTE de TLAHUAC, CDMX",22/10/1981,20:17:03,revisado
24/10/1981,18:25:04,"2.5",19.2,-99.2,"2","2 km al SURESTE de S MIGUEL AJUSCO, CDMX",25/10/1981,00:25:04,revisado
26/12/1981,01:08:56,"1.6",19.3,-99.2,"5","3 km al SURESTE de TLALPAN, CDMX",26/12/1981,07:08:56,revisado
05/06/1982,11:57:00,"2.1",19.4,-99.1,"5","1 km al NOROESTE de IZTACALCO, CDMX",05/06/1982,17:57:00,revisado
